BA&LLB Examination                                                               Timetable for the Second Semester of 2025-2026(As at Mar 20, 2026)

Date	Time		Course Code	Description	Venue
May 11 MON	2:30 pm - 5:00 pm (30 minutes' reading time included)		LLAW2004	Criminal law II	Multi-purpose Zone, Level 3, Main Library
May 13 WED	9:30 am - 11:30 am		CHIN2145	Chinese theatre during the Yuan, Ming, and Qing periods	Rm 5 Library Ext.
May 13 WED	2:30 pm - 5:00 pm (30 minutes' reading time included)		LLAW1015	Criminal law II	CPD-LG.07-10, Centennial Campus
May 13 WED	2:30 pm - 4:30 pm (10 minutes' reading time included)		LLAW2014	Land law II	Loke Yew Hall
				Land law II	Rm 103 Main Bldg.
May 13 WED	6:30 pm - 9:30 pm (No reading time included)		LLAW3105	Land law III	Rm 103 Main Bldg.
				Land law III	Rm 167 Main Bldg.
May 14 THU	2:30 pm - 4:00 pm		GEOG1012	Economic and social development in an urbanizing world	CPD-LG.07-10, Centennial Campus
				Economic and social development in an urbanizing world	Loke Yew Hall
				Economic and social development in an urbanizing world	Multi-purpose Zone, Level 3, Main Library
May 14 THU	6:30 pm - 9:30 pm (15 minutes' reading time included)		LLAW3093	Administrative law	CPD-LG.07-10, Centennial Campus
				Administrative law	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 15 FRI	9:30 am - 11:30 am		GEOG1016	Nature conservation for sustainable societies	Multi-purpose Zone, Level 3, Main Library
				Nature conservation for sustainable societies	Rm 2 Library Ext.
				Nature conservation for sustainable societies	Rm 3 Library Ext.
				Nature conservation for sustainable societies	Rm 4 Library Ext.
May 15 FRI	9:30 am - 12:30 pm (No reading time included)		LLAW1002	Law of contract II	CPD-LG.07-10, Centennial Campus
May 15 FRI	9:30 am - 12:30 pm (No reading time included)		LLAW3097	Civil procedure	CPD-LG.63, Centennial Campus
May 15 FRI	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 167 Main Bldg.
May 16 SAT	2:30 pm - 4:30 pm		CHIN1126	Introduction to classical Chinese popular literature	Rm 5 Library Ext.
May 16 SAT	2:30 pm - 4:15 pm (15 minutes' reading time included)		LLAW3095	Equity and trusts II	Multi-purpose Zone, Level 3, Main Library
May 18 MON	9:30 am - 11:30 am		CHIN1117	General introduction to classical Chinese language	Rm 201 Main Bldg.
May 18 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW1006	Law of tort II	CPD-LG.07-10, Centennial Campus
May 18 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW3102	Evidence I	Rm 217 Main Bldg.
				Evidence I	Rm 218 Main Bldg.
May 19 TUE	9:30 am - 11:30 am		CHIN1107	Creative writing	Rm 217 Main Bldg.
May 19 TUE	2:30 pm - 4:45 pm (15 minutes' reading time included)		LLAW3043	Principles of family law	CPD-LG.61 & CPD-LG.62, Centennial Campus
May 20 WED	9:30 am - 12:30 pm		BSTC2020	Sanskrit Language II	Rm 3 Library Ext.
May 20 WED	9:30 am - 11:30 am		CHIN1103	Introduction to standard works in modern Chinese literature	Rm 103 Main Bldg.
				Introduction to standard works in modern Chinese literature	Rm 167 Main Bldg.
May 21 THU	9:30 am - 11:30 am		IIMT2641	Introduction to business analytics	CPD-LG.07-10, Centennial Campus
May 21 THU	9:30 am - 12:45 pm (15 minutes' reading time included)		LLAW3010	Business associations	Multi-purpose Zone, Level 3, Main Library
May 22 FRI	9:30 am - 12:00 pm (15 minutes' reading time included)		LLAW2009	Introduction to Chinese legal system	Multi-purpose Zone, Level 3, Main Library
May 23 SAT	9:30 am - 11:30 am		CDDL9001	Practical Chinese for Double Degree Law Students	Loke Yew Hall
May 26 TUE	9:30 am - 11:30 am		CHIN1119	Introduction to literary studies	Rm 201 Main Bldg.
May 26 TUE	2:30 pm - 4:30 pm		CUND9001	Basic Spoken and Written Cantonese for Mandarin Speakers	CPD-LG.07-10, Centennial Campus
May 26 TUE	2:30 pm - 4:00 pm		CUND9003	Cantonese for Non-Cantonese Speaking Students	Multi-purpose Zone, Level 3, Main Library
