Faculty of Law Postgraduate Courses Examination                                  Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	9:30 am - 12:45 pm (15 minutes' reading time included)		JDOC6138	Arbitration law	Rm 237 Main Bldg.
Dec 6 SAT	9:30 am - 12:45 pm (15 minutes' reading time included)		LLAW6138	Arbitration law	Rm 237 Main Bldg.
Dec 6 SAT	9:30 am - 10:45 am (Accounts) (For Full-time & Part-time Yr 2 Students)		PCLL8040	Professional practice and management	Loke Yew Hall
				Professional practice and management	Rm 103 Main Bldg.
				Professional practice and management	Rm 167 Main Bldg.
Dec 10 WED	9:30 am - 12:30 pm		JDOC1003	Criminal law I	Rm 237 Main Bldg.
Dec 10 WED	9:30 am - 11:30 am		JDOC2003	Land law I	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 12 FRI	2:30 pm - 4:45 pm (15 minutes' reading time included)		JDOC1009	Constitutional law	CPD-LG.07-10, Centennial Campus
				Constitutional law	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 13 SAT	9:30 am - 12:30 pm		JDOC2001	Equity and trusts I	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 13 SAT	9:30 am - 11:45 am (15 minutes' reading time included)		LLAW6082	Corporate governance and shareholder remedies	Rm 237 Main Bldg.
Dec 13 SAT	9:30 am - 12:30 pm (& Criminal Procedure) (For Full-time & Part-time Yr 1 Students)		PCLL8050	Criminal litigation	Loke Yew Hall
				Criminal litigation	Rm 103 Main Bldg.
				Criminal litigation	Rm 167 Main Bldg.
Dec 15 MON	9:30 am - 11:30 am		JDOC1001	Law of contract I	CPD-LG.07-10, Centennial Campus
				Law of contract I	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 15 MON	2:30 pm - 4:45 pm (15 minutes' reading time included)		JDOC3015	Company law	Rm 237 Main Bldg.
Dec 16 TUE	9:30 am - 11:00 am (Paper I) (For Full-time Students)		PCLL8020	Corporate and Commercial transactions	Loke Yew Hall
				Corporate and Commercial transactions	Rm 103 Main Bldg.
Dec 17 WED	2:30 pm - 4:45 pm (15 minutes' reading time included)		JDOC1005	Law of tort I	CPD-LG.07-10, Centennial Campus
Dec 20 SAT	9:30 am - 1:30 pm (Paper I) (For Full-time Students)		PCLL8030	Property transactions I	Loke Yew Hall
				Property transactions I	Rm 103 Main Bldg.
Jan 2 FRI	9:30 am - 1:00 pm (Paper II) (For Full-time Students)		PCLL8020	Corporate and Commercial transactions	Loke Yew Hall
				Corporate and Commercial transactions	Rm 103 Main Bldg.
Jan 3 SAT	9:30 am - 1:00 pm (Paper III) (For Full-time Students)		PCLL8020	Corporate and Commercial transactions	Loke Yew Hall
				Corporate and Commercial transactions	Rm 103 Main Bldg.
Jan 5 MON	9:30 am - 1:00 pm (Paper II) (For Full-time Students)		PCLL8030	Property transactions I	Loke Yew Hall
				Property transactions I	Rm 103 Main Bldg.
Jan 9 FRI	9:30 am - 12:30 pm (Civil Procedure Knowledge) (Paper I) (For Full-time & Part-time Yr 1 Students)		PCLL8010	Civil litigation	Loke Yew Hall
				Civil litigation	Rm 103 Main Bldg.
				Civil litigation	Rm 167 Main Bldg.
Jan 10 SAT	9:30 am - 1:00 pm (Civil Litigation Drafting) (Paper II) (For Full- time & Part-time Yr 1 Students)		PCLL8010	Civil litigation	Loke Yew Hall
				Civil litigation	Rm 103 Main Bldg.
				Civil litigation	Rm 167 Main Bldg.
