BSW Examination                                                                  Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 6 SAT	2:30 pm - 4:30 pm		ACCT1101	Introduction to financial accounting	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting	CPD-LG.60, Centennial Campus
				Introduction to financial accounting	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting	Loke Yew Hall
				Introduction to financial accounting	Multi-purpose Zone, Level 3, Main Library
				Introduction to financial accounting	Rm 103 Main Bldg.
				Introduction to financial accounting	Rm 167 Main Bldg.
				Introduction to financial accounting	Rm 237 Main Bldg.
				Introduction to financial accounting	Rm 6 Library Ext.
				Introduction to financial accounting	Rm 7 Library Ext.
				Introduction to financial accounting	Rm 8 Library Ext.
				Introduction to financial accounting	Rm 9 Library Ext.
Dec 6 SAT	2:30 pm - 4:30 pm		GEOG2154	Healthy food, place, and sustainability	Rm 201 Main Bldg.
				Healthy food, place, and sustainability	Rm 256 Main Bldg.
Dec 9 TUE	9:30 am - 11:30 am		SOCI3067	Crime and the media	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 9 TUE	2:30 pm - 4:00 pm		GEOG1005	Map use, reading and interpretation	Loke Yew Hall
				Map use, reading and interpretation	Rm 103 Main Bldg.
				Map use, reading and interpretation	Rm 105 Chong Yuet Ming Amenities Ctr.
				Map use, reading and interpretation	Rm 167 Main Bldg.
Dec 10 WED	2:30 pm - 4:30 pm		GEOG2096	Human impacts on ecosystems	Rm 201 Main Bldg.
				Human impacts on ecosystems	Rm 256 Main Bldg.
Dec 11 THU	9:30 am - 11:30 am		SOCI1001	Introduction to sociology	Loke Yew Hall
				Introduction to sociology	Rm 103 Main Bldg.
Dec 11 THU	2:30 pm - 4:30 pm		CHIN1116	General introduction to modern Chinese language	Rm 6 Library Ext.
				General introduction to modern Chinese language	Rm 7 Library Ext.
Dec 11 THU	2:30 pm - 5:00 pm		MATH1013	University mathematics II	CPD-LG.07-10, Centennial Campus
				University mathematics II	Loke Yew Hall
				University mathematics II	Multi-purpose Zone, Level 3, Main Library
				University mathematics II	Rm 103 Main Bldg.
				University mathematics II	Rm 167 Main Bldg.
Dec 12 FRI	2:30 pm - 4:00 pm		GEOG2030	Global development	Rm 105 Chong Yuet Ming Amenities Ctr.
				Global development	Rm 8 Library Ext.
				Global development	Rm 9 Library Ext.
Dec 13 SAT	2:30 pm - 4:30 pm		SOCI3046	Sociology of law	Rm 237 Main Bldg.
Dec 15 MON	9:30 am - 11:30 am		GEOG1003	Contemporary global environmental issues	Loke Yew Hall
				Contemporary global environmental issues	Rm 103 Main Bldg.
				Contemporary global environmental issues	Rm 167 Main Bldg.
				Contemporary global environmental issues	Rm 201 Main Bldg.
Dec 15 MON	9:30 am - 11:30 am		SOCI3078	Drug control in comparative perspective	Rm 201 Main Bldg.
Dec 15 MON	2:30 pm - 4:30 pm		PSYC2019	Psychology of personality	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 16 TUE	9:30 am - 11:30 am		GEOG2013	Sustainable Development: Introduction and Quantification	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 17 WED	9:30 am - 11:30 am		CHIN1118	Introduction to classical Chinese literature	Rm 8 Library Ext.
				Introduction to classical Chinese literature	Rm 9 Library Ext.
Dec 17 WED	2:30 pm - 4:30 pm		CUND9002	Practical Chinese and Hong Kong Society	Rm 2 Library Ext.
				Practical Chinese and Hong Kong Society	Rm 3 Library Ext.
Dec 18 THU	9:30 am - 11:30 am		PHYS1150	Problem solving in physics	Loke Yew Hall
Dec 18 THU	2:30 pm - 4:30 pm		PSYC1001	Introduction to psychology	CPD-LG.07-10, Centennial Campus
				Introduction to psychology	Multi-purpose Zone, Level 3, Main Library
Dec 20 SAT	9:30 am - 11:30 am		CCST9016	Energy: Its Evolution and Environmental Impacts	CPD-LG.07-10, Centennial Campus
Dec 20 SAT	2:30 pm - 4:30 pm		CCST9020	Sustainable Development of the Built Environment	Rm 167 Main Bldg.
