MSc(CompSc) Examination                                                          Timetable for the First Semester of 2025-2026(As at Oct 17, 2025)

Date	Time		Course Code	Description	Venue
Dec 3 WED	6:30 pm - 8:30 pm		COMP7503	Multimedia technologies	Loke Yew Hall
				Multimedia technologies	Rm 103 Main Bldg.
Dec 4 THU	6:30 pm - 8:30 pm		COMP7104	Advanced database systems	Loke Yew Hall
Dec 5 FRI	6:30 pm - 8:30 pm		COMP7107	Management of complex data types	Loke Yew Hall
Dec 6 SAT	2:30 pm - 4:30 pm		STAT6013	Financial data analysis	Rm 217 Main Bldg.
				Financial data analysis	Rm 218 Main Bldg.
Dec 6 SAT	6:30 pm - 8:30 pm		COMP7508	Data-driven computer animation	CPD-LG.60, Centennial Campus
				Data-driven computer animation	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 9 TUE	2:30 pm - 4:30 pm		DASE7505	Intelligent unmanned systems	Rm 4 Library Ext.
				Intelligent unmanned systems	Rm 5 Library Ext.
Dec 9 TUE	6:30 pm - 8:30 pm		COMP7802	Introduction to financial computing	Multi-purpose Zone, Level 3, Main Library
Dec 10 WED	6:30 pm - 8:30 pm		DASC7606	Deep learning	Loke Yew Hall
				Deep learning	Rm 103 Main Bldg.
				Deep learning	Rm 105 Chong Yuet Ming Amenities Ctr.
				Deep learning	Rm 167 Main Bldg.
Dec 11 THU	6:30 pm - 8:30 pm		COMP7103	Data mining	CPD-LG.07-10, Centennial Campus
				Data mining	CPD-LG.60, Centennial Campus
				Data mining	CPD-LG.61 & CPD-LG.62, Centennial Campus
Dec 12 FRI	6:30 pm - 8:30 pm		COMP7409	Machine learning in trading and finance	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 12 FRI	6:30 pm - 8:30 pm		ELEC7043	Digital image processing and computer vision	CPD-LG.07-10, Centennial Campus
Dec 13 SAT	6:30 pm - 8:30 pm		FITE7410	Financial fraud analytics	Rm 105 Chong Yuet Ming Amenities Ctr.
				Financial fraud analytics	Rm 2 Library Ext.
				Financial fraud analytics	Rm 3 Library Ext.
Dec 15 MON	6:30 pm - 8:30 pm		DASE7113	Optimization methods for intelligent systems	Loke Yew Hall
Dec 15 MON	6:30 pm - 8:30 pm		DASE7310	Financial engineering	Loke Yew Hall
Dec 15 MON	6:30 pm - 8:30 pm		FITE7407	Securities transaction banking	Loke Yew Hall
Dec 15 MON	6:30 pm - 8:30 pm		STAT6016	Spatial data analysis	Loke Yew Hall
Dec 16 TUE	6:30 pm - 8:30 pm		COMP7308	Introduction to unmanned systems	Rm 103 Main Bldg.
Dec 16 TUE	6:30 pm - 8:30 pm		COMP7507	Visualization and visual analytics	CPD-LG.07-10, Centennial Campus
Dec 17 WED	6:30 pm - 8:30 pm		COMP7906	Introduction to cyber security	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 18 THU	6:30 pm - 8:30 pm		ICOM7128	Knowledge graphs	Rm 167 Main Bldg.
Dec 19 FRI	6:30 pm - 8:30 pm		COMP7404	Computational intelligence and machine learning	CPD-LG.07-10, Centennial Campus
Dec 19 FRI	6:30 pm - 8:30 pm		COMP7415	Mastering the markets: Financial analytics and algorithmic trading	CPD-LG.07-10, Centennial Campus
Dec 19 FRI	6:30 pm - 8:30 pm		COMP7905	Reverse engineering and malware analysis	Loke Yew Hall
Dec 20 SAT	2:30 pm - 5:30 pm		COMP7309	Quantum computing and artificial intelligence	Rm 105 Chong Yuet Ming Amenities Ctr.
Dec 20 SAT	2:30 pm - 4:30 pm		DASE7143	The internet of things	Loke Yew Hall
Dec 20 SAT	6:30 pm - 8:30 pm		ELEC6036	High-performance computer architecture	Loke Yew Hall
Dec 22 MON	6:30 pm - 8:30 pm		ELEC7079	Investment and trading for engineering students	Rm 167 Main Bldg.
